sentence1,sentence2,label,idx,llama_predict,llama_prediction
Police and school officials agreed last week to step up police presence in response to reports of increased violence and gang activity .,Police met with school officials Oct. 24 and agreed to increase their presence after reports of increased violence and gang activity .,1,144,paraphrase,1
""" We started our investigation of the child porn ring last year in August and soon realized that it was a big thing , "" Mr. Beer said .",""" We started our investigation of the child porn ring last year in August and soon realised that it was a big thing , "" Mr Beer told a packed press conference .",1,145,non-paraphrase,0
"Actor Arnold Schwarzenegger is leaving backers in suspense , and former Los Angeles Mayor Richard Riordan will consider if the Terminator balks .",Arnold Schwarzenegger and former Los Angeles Mayor Richard Riordan may jump in by the Aug. 9 deadline to file .,0,146,non-paraphrase,0
But planning for an expansion of Wagerup has been caught up in a heated debate about the existing project 's effect on local residents .,But plans to expand Wagerup had been caught up in a heated debate about the existing pro-ject 's impact on the amenity of local residents .,1,147,non-paraphrase,0
"PeopleSoft management could choose to activate an anti-takeover defense known as a "" poison pill , "" designed to thwart undesired suitors .","PeopleSoft is equipped with an anti-takeover defence , known as a "" poison pill , "" designed to thwart undesired suitors .",1,148,non-paraphrase,0
"In connection with the incident , I have acknowledged that I behaved inappropriately . """,""" I have acknowledged that I behaved inappropriately , "" he said .",1,149,non-paraphrase,0
Hotly contested legislation that would change the state 's takeover law and help a Michigan-based development company fend off a takeover cleared the state Senate on Thursday .,Legislation that would change state takeover law and help Bloomfield Hills-based Taubman Centers Inc. fend off a $ 1-billion takeover won committee approval Tuesday .,1,150,paraphrase,1
The New York Mets then selected outfielder Lastings Milledge from Lakewood Ranch High School in Florida .,"The Mets took Lastings Milledge , an outfielder from Florida , with the 12th pick .",1,151,paraphrase,1
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom .,"A leading U.K. medical journal called Friday for a complete ban on tobacco , prompting outrage from smokers ' groups .",0,152,non-paraphrase,0
"Michael Hill , a Sun reporter who is a member of the Washington-Baltimore Newspaper Guild 's bargaining committee , estimated meetings to last late Sunday .",""" We hope it 's symbolic , "" said Michael Hill , a Sun reporter and member of the guild 's bargaining committee .",0,153,paraphrase,1
Coca-Cola said it expected its write-down to cut a quarter of a penny per share from second-quarter earnings .,"The write-down will cut a quarter of a penny per share from second-quarter earnings , according to Coca-Cola .",1,154,non-paraphrase,0
"The Defense Department statement said legal access for Hamdi was not required by domestic or international law and "" should not be treated as precedent . ""","The Pentagon statement said that allowing Hamdi access to a lawyer "" is not required by domestic or international law and should not be treated as a precedent . """,1,155,paraphrase,1
"Clijsters was simply too complete and powerful for the Spanish veteran Conchita Martínez in her quarterfinal , winning , 6-2 , 6-1 .","Clijsters was simply too powerful for Spanish veteran Conchita Martinez , winning 6-2 , 6-1 .",1,156,paraphrase,1
"City Councilman Cedric Wilson said those killed were Cpl. James Crump , Officer Arnold Strickland and dispatcher Ace Mealer .","Fayette City Councilman Cedric Wilson identified the dead as Cpl. James Crump , Officer Arnold Strickland and dispatcher Ace Mealer .",1,157,paraphrase,1
"But , to the dismay of Reaganites , there is no mention of the Reagan-era economic boom .",But there is no mention of the economic recovery or the creation of wealth during his administration .,0,158,paraphrase,1
The interview came a day after a report in the British press that he had been taken into custody .,The interview Thursday came a day after Britain 's Daily Mirror reported Sahhaf had been taken into custody .,1,159,non-paraphrase,0
Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination .,"Lay had refused to turn over the papers , asserting his Fifth Amendment right against self-incrimination .",1,160,non-paraphrase,0
""" I don 't know whether that means two years or four years .",""" Whether that means two years or four years , I don 't know . """,1,161,non-paraphrase,0
Walker said he expects that the president 's budget will include a request for three percent to five percent budget increases for NASA for each of the next five years .,Walker said he expects that the president ’ s budget will include a request for 3 to 5 percent budget increases for NASA for each of the next five years .,1,162,paraphrase,1
"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT , off a low of 164p , in a slightly stronger overall London market .","Shares in BA were down three percent at 165-1 / 4 pence by 0933 GMT , off a low of 164 pence , in a stronger market .",1,163,non-paraphrase,0
"Amnesty International has said that over the past 20 years it has collected information about 17,000 disappearances in Iraq but the actual figure may be much higher .","Amnesty International said that over the past 20 years it had collected information about 17,000 disappearances in Iraq .",0,164,non-paraphrase,0
Both have said they are willing to take the slim chance of success for the opportunity to lead separate lives .,Twenty-nine-year-old Iranian sisters Ladan and Laleh Bijani are willing to accept the slim chance of success just for an opportunity to lead separate lives .,1,165,paraphrase,1
She had been critically ill after May 7 surgery to replace a heart valve .,She had been critically ill since having surgery at Baptist Hospital on May 7 to replace a heart valve .,1,166,paraphrase,1
The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio .,BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio .,0,167,paraphrase,1
"Braker said Wednesday that police , as part of protocol , were talking with other children Cruz had access to .","He told "" Today "" that authorities , as part of protocol , were talking with other children Cruz had had access to .",1,168,paraphrase,1
"The state will consider the police memorial after planning a World Trade Center Memorial , said Micah Rasmussen , a spokesman for Gov. James E. McGreevey .","The state will consider the police memorial after planning is completed on another memorial to all the victims , said Micah Rasmussen , a spokesman for Gov. James E. McGreevey .",1,169,non-paraphrase,0
"Stewart said the ring was most likely a work in progress , and that weak links such as being tied to a single server will be eliminated over time .","Mr. Stewart said the ring was most likely a work in progress , and that flaws , like being tied to a single server , would be eliminated over time .",1,170,paraphrase,1
It will also give Microsoft an opportunity to comment on remedies proposed by the Commission .,"Among other things , Microsoft is to comment on proposed remedies in its response .",1,171,paraphrase,1
The State Court of Appeals did not explain the reason for keeping the lower court 's unanimous opinion from July .,The State Court of Appeals did not explain its reasons for not disturbing the Appellate Division 's unanimous opinion issued in July .,1,172,paraphrase,1
"While the day 's trading was lackluster , the Standard & Poor 's 500 index was preparing to close out its best three-month period since the fourth quarter of 1998 .","The Standard & Poor 's 500 stock index ended the quarter up 120 points , a gain of 14 percent , the best performance for that broad market benchmark since 1998 .",0,173,paraphrase,1
"Powell recently changed the story , telling officers that Hoffa 's body was buried at his former home , where the search was conducted Wednesday .","Powell changed the story earlier this year , telling officers that Hoffa 's body was buried at his former home , where the aboveground pool now sits .",0,174,paraphrase,1
Another said its members would continue to call the more than 50 million phone numbers on the Federal Trade Commission 's list .,"Meantime , the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list .",0,175,paraphrase,1
"Stock futures were mixed in early Thursday trading , but trading below fair value , pointing to a lower open for the major market indexes .","Stock futures were trading lower early on Thursday , below fair value , pointing to a lower open .",1,176,non-paraphrase,0
"Worldwide , 7,183 SARS cases and 514 deaths have been reported in 30 countries .","Taiwan reported 22 new cases , for a total of 360 with 13 deaths .",0,177,non-paraphrase,0
SCO says the pricing terms for a license will not be announced for weeks .,"Details on pricing will be announced within a few weeks , McBride said .",1,178,non-paraphrase,0
Further estimates show that it is the fourth most common cause of cancer in men and the eighth most common in women .,Bladder cancer is the fourth most common cancer in American men and the eighth in women .,1,179,paraphrase,1
"The new bill would have Medicare cover 95 percent of drug costs over $ 5,100 .","Above that , seniors would be responsible for 100 percent of drug costs until the out-of-pocket total reaches $ 3,600 .",0,180,paraphrase,1
"The technology-laced Nasdaq Composite Index < .IXIC > rose 17.33 points , or 1.07 percent , to 1,640.13 .","The broader Standard & Poor 's 500 Index < .SPX > gained 5.51 points , or 0.56 percent , to 981.73 .",0,181,non-paraphrase,0
Both studies are published in the Journal of the American Medical Association .,The study appears in the latest issue of the Journal of the American Medical Association .,0,182,paraphrase,1
"His Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach , parking lot .","His sport utility vehicle was found June 25 , abandoned without its license plates in Virginia Beach , Va .",1,183,paraphrase,1
Spitzer was among a group of federal and state regulators who negotiated a $ 1.4 billion settlement with 10 brokerage houses to settle investigations of analyst conflicts of interest .,Spitzer was among a group of federal and state regulators who negotiated a $ 1.4 billion settlement with 10 brokerages over analyst conflict-of-interest allegations .,1,184,non-paraphrase,0
"Crohn 's disease causes inflammation of the intestine and symptoms include diarrhea , pain , weight loss and tiredness .","Symptoms include chronic diarrhoea , abdominal pain , weight loss and extreme tiredness .",1,185,non-paraphrase,0
He and his colleagues attributed some of the communication gap to doctors feeling pressed for time .,He attributed some of the communication gap to doctors feeling pressed for time ; patients cited discomfort discussing financial issues .,0,186,paraphrase,1
"The three men have pleaded not guilty and their lawyers have asked the High Court to dismiss the charges , saying the state has failed to present a solid case .","Defense lawyers asked the High Court to dismiss the charges , saying the state has failed to present a solid case .",0,187,paraphrase,1
"A Florida grand jury investigating pharmaceutical wholesalers indicted 19 people on charges of peddling bogus or diluted medications often prescribed for cancer and AIDS patients , authorities said yesterday .","A Florida grand jury indicted 19 people for contaminating and diluting prescription drugs desperately needed by AIDS and cancer patients in a multimillion-dollar scheme , prosecutors said Monday .",0,188,paraphrase,1
The Bush administration 's hope is that by increasing the efficiency of older power plants -- especially coal -- more power can be produced more cheaply .,The administration 's hope is that by increasing the efficiency of older coal-fired plants - the most affected segment - more power can be produced more cheaply .,1,189,paraphrase,1
"The Dow Jones industrial average .DJI was off 58.69 points , or 0.64 percent , at 9,137.86 .","The blue-chip Dow Jones industrial average .DJI fell 86.56 points , or 0.94 percent , to 9,109.99 , after giving up more than 1 percent earlier .",0,190,non-paraphrase,0
"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points , or 0.32 percent , at 1,590.75 , breaking a six-day string of gains .","The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent , or 1.78 points , at 1,594.13 .",0,191,non-paraphrase,0
"His chief lawyer , Mahendradatta , said Bashir was mentally prepared for a heavy sentencing demand and felt the Marriott bombing would affect the decision .","A lawyer for Bashir , Mahendradatta , said earlier his client was mentally prepared for a heavy sentencing demand and had felt the Marriott bombing would affect the decision .",1,192,paraphrase,1
"This comes at a time when Alba is expanding its aluminium output by 307,000 tonnes a year and is accelerating plans for another 307,000 tonnes-a-year increase .","That comes as Alba is lifting its aluminium output by 307,000 tonnes a year and accelerating plans for another 307,000 tonnes-a-year increase .",1,193,paraphrase,1
"The new Mobile AMD Athlon 64 processors are numbered 3200 + , 3000 + and 2800 + .","The Mobile 3200 + , 3000 + and 2800 + cost $ 293 , $ 233 and $ 193 for a thousand units .",0,194,paraphrase,1
"The main psychologist , Dwight Close , referred questions to an agency spokeswoman , who said she wouldn 't comment on personnel issues .","The main psychologist in the Rodriguez case , Dwight Close , referred questions to an agency spokeswoman , who didn 't immediately return a call .",1,195,non-paraphrase,0
"The broader Standard & Poor 's 500 Index < .SPX > gave up 11.91 points , or 1.19 percent , at 986.60 .","The technology-laced Nasdaq Composite Index .IXIC declined 16.68 points , or 1.01 percent , at 1,636.94 .",0,196,paraphrase,1
The survey also found that executives who feel that current economic conditions have improved rose to 35 per cent from 15 per cent last quarter .,"The survey also found that more executives feel that current economic conditions have improved , at 35 per cent compared to 15 per cent in the first quarter .",1,197,non-paraphrase,0
"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years , but again was rebuffed March 19 at its annual conference in Geneva .","It has sought observer status for seven years , but was again rebuffed May 19 at the annual WHO conference in Geneva .",1,198,non-paraphrase,0
""" This is where you 're measured – not in the regular season but right now .","And it 's not in the regular season , but right now , "" Babcock said .",0,199,non-paraphrase,0
""" I would like the FCC to start all over , "" said Sen. Kay Bailey Hutchison , R-Texas , who supported reversing the rules .",""" I would like the FCC to start all over again , "" said Sen. Kay Bailey Hutchison , R-Texas , who expressed concern about "" potentially dangerous "" newspaper-broadcast combinations .",0,200,paraphrase,1
"Dave Tomlin , assistant general counsel of The A.P. , said his organization was still deciding whether to appeal .","Dave Tomlin , AP 's assistant general counsel , said the parties are deciding whether to appeal the order .",1,201,non-paraphrase,0
"Weyerhaeuser is the one of the worlds largest producers of softwood lumber , with the capacity to produce 7.6 billion board feet a year .","Weyerhaeuser , one of the world 's largest producers of softwood , can produce about 7.6 billion board feet a year .",1,202,paraphrase,1
"If their circulatory systems are not properly separated , it could kill one or both of them , doctors have said .","But if their circulatory systems are not properly separated , it could kill them , doctors say .",1,203,non-paraphrase,0
""" Our goals is not to go out and start suing companies , "" McBride said .","As we go down the licensing path , our goal is not to start suing companies , "" McBride said .",0,204,paraphrase,1
A key figure in former state Treasurer Paul Silvester 's bribery scheme was accused Wednesday of changing his story about Silvester 's alleged corrupt dealings with a Boston investment firm .,A key player in former state Treasurer Paul Silvester 's corruption scheme testified on Tuesday about kickbacks and bribes Silvester traded for state business .,0,205,paraphrase,1
"Gartner 's report said global WLAN equipment shipments reached 19.5 million last year , a 120 percent increase over 2001 's 8.9 million units .","Total shipments reached 19.5 million units last year , compared with 8.9 million units in 2001 .",1,206,non-paraphrase,0
"They were being held Sunday in the Camden County Jail on $ 100,000 bail each .","The Jacksons remained in Camden County jail on $ 100,000 bail .",1,207,paraphrase,1
""" I am proud that I stood against Richard Nixon , not with him , "" Kerry said .",""" I marched in the streets against Richard Nixon and the Vietnam War , "" she said .",0,208,paraphrase,1
"Saddam 's other son , Odai , surrendered Friday , but the Americans are keeping it quiet because he 's a U.S. agent .","Hussein 's other son , Uday , surrendered yesterday , but the Americans are keeping it quiet because he 's a US agent .",1,209,non-paraphrase,0
The Space Infrared Telescope Facility 's mission is to search for the beginnings of the universe .,NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning .,0,210,paraphrase,1
"There are 625 U.N. troops in Bunia , while there are between 25,000 and 28,000 tribal fighters , from all sides , in the region .","There are 625 U.N. troops in Bunia , while there are between 25,000 and 28,000 tribal fighters in the region , with thousands of them deployed in and around Bunia .",1,211,paraphrase,1
"The driver of the truck escaped and is now being sought by the police , Supoyo said .",But police say the driver of the truck has not been found and is wanted for questioning .,1,212,paraphrase,1
A soldier was killed Monday and another wounded when their convoy was ambushed in northern Iraq .,"On Sunday , a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq .",0,213,paraphrase,1
Total Information Awareness is now Terrorism Information Awareness .,The new name will be Terrorism Information Awareness .,1,214,paraphrase,1
David Brame fatally shot his wife and then himself on April 26 in a Gig Harbor shopping-mall parking lot .,David Brame shot his wife and then himself April 26 in a Gig Harbor parking lot as their two children sat in his car nearby .,0,215,paraphrase,1
""" I just hope that this event doesn 't tarnish his career or take away from what he 's done . """,""" But I just hope that this event , whatever it was , doesn 't tarnish his career or take away all that Sammy Sosa 's done .",1,216,non-paraphrase,0
"Robert B. Willumstad , 57 , Citigroup 's president , was named chief operating officer .","And Robert B. Willumstad , 57 , who is currently president of Citigroup , was named chief operating officer .",1,217,paraphrase,1
The service is deploying Cisco 's BTS 10200 Softswitch cable modem termination system and MGXR 8850 voice gateway products .,"This solution includes the BTS 10200 soft switch , uBR7246VXR cable modem termination system and MGX 8850 voice gateway products .",1,218,non-paraphrase,0
"Last year , there were shortages of shots for diphtheria-tetanus-whooping cough , measles-mumps-rubella , pneumococcal disease , tetanus and chicken pox nationally .","In the past two years scientists say there have been vaccine shortages for diphtheria-tetanus-whooping cough , measles-mumps-rubella , pneumococcal disease , tetanus and chicken pox .",1,219,non-paraphrase,0
County Judge Tim Harley declared a mistrial because the jury could not reach a verdict .,Judge Tim Harley declared a mistrial in the Adrian McPherson gambling trial today after the jury was unable to reach a verdict .,1,220,non-paraphrase,0
"Mr. Pingeon is director of litigation for Massachusetts Correctional Legal Services , a prisoners ' rights group .","Pingeon said an attorney for his organization , Massachusetts Correctional Legal Services , interviewed Assan Tuesday .",0,221,non-paraphrase,0
"Heather , 35 , who lost a leg in a road accident , is thought to have steel plates fitted in her hips , which would make natural childbirth impossible .",Former model Lady McCartney lost a leg in a road accident in 1993 and is understood to have steel plates fitted in her hips which would make natural childbirth difficult .,1,222,non-paraphrase,0
"Republicans had pledged to complete a Medicare drug package by August , then extended the deadline to Oct. 17 , and they are still working on it .","Republicans had pledged to complete a Medicare drug package by August , then extended it to Oct. 17 .",0,223,paraphrase,1
"Pacific Northwest has more than 800 employees , and Wells Fargo has 2,400 in Washington .","It has 800 employees , compared with Wells Fargo 's 2,400 .",1,224,paraphrase,1
"However , other unions including the powerful CGT remained opposed to the reform and demanded the government begin fresh negotiations with them .","The powerful CGT and other unions remained opposed to the plans , however , and demanded the government renegotiate the reform with them .",1,225,non-paraphrase,0
"On health care , the NDP says there will be no privatization and no health-care premiums .",The New Democrats also renewed their commitment to no health-care privatization and no premiums .,1,226,non-paraphrase,0
As part of a restructuring Peregrine sold its Remedy help desk software unit last year to BMC Software Inc .,Peregrine sold its Remedy business unit to BMC Software in November for $ 355 million .,0,227,non-paraphrase,0
"This is America , my friends , and it should not happen here , "" he said to loud applause .",""" This is America , my friends , and it should not happen here . """,0,228,non-paraphrase,0
"Klarman was arrested by FBI agents in the Hamptons , an exclusive summer resort enclave east of New York City .",Klarman was arrested by FBI agents Monday morning at his home in New York .,0,229,non-paraphrase,0
Chi-Chi 's has agreed to keep the restaurant closed until Jan. 2 _ two months after it voluntarily closed following initial reports of the disease .,Chi-Chi 's has agreed to keep the restaurant closed until Jan. 2 -- two months after it voluntarily closed when the disease was first reported .,1,230,paraphrase,1
"Four versions of Windows operating systems are targeted : Windows NT , Windows 2000 , Windows XP and Windows Server 2003 .","The new worm affects these Windows systems : 2000 , XP , NT 4.0 and Server 2003 .",1,231,paraphrase,1
It calls for the agency to plan an independent safety and engineering organization .,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority .,1,232,paraphrase,1
No official ceremony was planned to mark the anniversary in Dallas .,"In Dallas , no official ceremony marked the anniversary .",1,233,paraphrase,1
Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group .,"SCO changed its name to Tarantella , and Caldera later changed its name to the SCO Group .",0,234,non-paraphrase,0
The victims were last seen at church last Sunday ; their bodies were discovered Tuesday .,The family was last seen July 6 and their bodies were found Tuesday .,1,235,paraphrase,1
Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves .,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves .,0,236,paraphrase,1
Software developers use compilers to translate programming languages such as C + + into the language that can be read by a particular processor .,"Software developers use compilers to translate a programming language , such as C + + , into the machine language understood by the processor .",1,237,non-paraphrase,0
"In Albany , for example , 24 percent of students passed ; in South Colonie , 14 percent .","In Kingston , only about 15 percent of students who took the exam passed it .",0,238,non-paraphrase,0
Tennessee Titans quarterback Steve McNair apologized Thursday for his arrest hours earlier in Nashville on suspicion of drunken driving and illegal possession of a handgun .,Tennessee Titans quarterback Steve McNair was arrested Thursday and charged with drunken driving and possession of a handgun .,0,239,paraphrase,1
"That second dossier , passed to journalists during Mr Blair 's trip to Washington , said it drew on "" a number of sources , including intelligence material "" .","That second dossier , passed to journalists on Mr Blair 's trip to Washington to discuss war plans , said it drew upon "" a number of sources , including intelligence material "" .",1,240,1 is paraph,1
The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling .,"The other , much less likely semifinal will match seventh-seeded Guillermo Coria of Argentina against the unseeded Dutchman Martin Verkerk .",0,241,paraphrase,1
Wal-Mart estimates more than 100 million Americans visit their stores every week .,"Each week 138 million shoppers visit Wal-Mart 's 4,750 stores .",1,242,non-paraphrase,0
"For the 12-month period ending June 30 , high-speed lines installed in homes and businesses increased by 45 percent .","For the full year period ending June 30 , 2003 , high-speed lines increased by 45 percent .",1,243,non-paraphrase,0
"Sen. John Kerry , Massachusetts Democrat , came in second place for the quarter with $ 5.8 million .","As expected , Dean led the field in the second quarter with $ 7.6 million raised .",0,244,paraphrase,1
"While some other parts of Africa have been used as staging grounds for the terror group , Malawi previously had not been a major focus of investigations into al-Qaida .","While some other parts of Africa have been used as Al Qaeda staging grounds , Malawi had previously not been a major focus of investigations into the group .",1,245,paraphrase,1
"Police said yesterday they believe Mr. Cruz knew of the girl through one of her former schoolmates , though neither the girl nor her family knew him .","Police said on Monday they believed Cruz knew of the fourth-grade girl through one of her former schoolmates , although neither the girl nor her family knew him .",1,246,paraphrase,1
"The Prime Minister , Junichiro Koizumi , joined the criticism .",Prime Minister Junichiro Koizumi said Mr Ota deserved to be criticised .,1,247,paraphrase,1
"There is one drug on the market for macular degeneration , Visudyne , and it is approved for the treatment of only one subtype that represents a minority of cases .","There is only one drug on the market for macular degeneration , and it is approved to treat only one subtype that represents a minority of cases .",1,248,paraphrase,1
"Speaking for the first time since being charged with child molestation , Jackson added , "" Why not ?",Michael Jackson spoke out for the first time Sunday night since the latest accusations of child molestation .,0,249,non-paraphrase,0
"The bureau also failed to pursue other leads , including a local imam who dealt with several key 9-11 figures .","The FBI also failed to pursue other leads , including a San Diego imam who dealt with several 9 / 11 figures , it adds .",1,250,paraphrase,1
""" I notice a mood change in their priorities , "" one politician said .",""" I notice a mood change in their priorities , "" said one Iraqi politician after meeting with Mr. Bremer .",0,251,paraphrase,1
The Johnson-Lewis fight was to be the main event of a boxing doubleheader at the Staples Center in Los Angeles .,"With Johnson 's injury , the fight card at the Staples Center in Los Angeles is in question .",0,252,paraphrase,1
Scientists believed Stardust trapped thousands of particles of dust .,Stardust was designed to gather thousands of dust particles streaming from Wild 2 .,0,253,paraphrase,1
The Herald reported on Tuesday that internet developer Bruce Simpson was building a missile from parts ordered over the internet and shipped through Customs .,A home handyman is building a missile in his garage with parts bought over the internet and shipped through Customs .,1,254,paraphrase,1
Papandreou said EU leaders would discuss the appointment of Trichet as ECB president on Thursday evening or Friday .,Papandreou said EU leaders would discuss the appointment of Bank of France governor Jean-Claude Trichet as president of the European Central Bank on Thursday or Friday .,1,255,non-paraphrase,0
"Vivendi pointed out that in both possible combinations , it would maintain a substantial minority interest in a U.S. media corporation "" with excellent growth potential . ""","It also added that both proposals would allow Vivendi Uni to maintain "" a substantial minority interest in a U.S. media corporation with excellent growth potential . """,1,256,non-paraphrase,0
"Zilkha and other shareholders , including Coastal founder Oscar Wyatt Jr . , had called for Wise 's firing for months .","Zilkha and other shareholders , including Coastal Corp. founder and vocal El Paso critic Oscar Wyatt Jr . , had called for Wise 's termination for months .",1,257,non-paraphrase,0
"The last time the survey was conducted , in 1995 , those numbers matched .","In 1995 , the last survey , those numbers were equal .",1,258,paraphrase,1
"Cooper , the boy 's mother , started coming to the church about three months ago after she met a parishioner at a doctor 's office , Hemphill said .","The boy 's mother , Patricia Cooper , started coming to the church about three months ago after she met one of its members at a doctor 's office , Hemphill said .",1,259,paraphrase,1
"To win final United States approval , the treaty would have to be signed by President Bush and ratified by Congress .",The treaty must be signed by the president and ratified by Congress to take effect .,1,260,non còn,0
"The deal with the Carmel-based insurer is expected to close shortly , said Macklowe spokesman Howard J. Rubenstein .","Macklowe has signed a sale contract , which is expected to close shortly , said his spokesman , Howard Rubenstein .",1,261,non-paraph,0
"Intelligence officials in Washington warned lawmakers a week ago to expect a terrorist attack in Saudi Arabia , it was reported today .","Intelligence officials told key senators a week ago to expect a terrorist attack in Saudi Arabia , Sen. Pat Roberts ( R-Kan . ) said yesterday .",1,262,paraphrase,1
Plofsky said the commission won 't investigate because the three-year statute of limitations has expired .,"The panel will not begin a formal investigation because the statute of limitations has expired , Plofsky said .",1,263,paraphrase,1
"Yes , from today Flash memory purchased from AMD or Fujitsu will be branded Spansion .",Spansion Flash memory solutions are available worldwide from AMD and Fujitsu .,0,264,non-paraphrase,0
"Her amendment would have changed the bill by keeping with current Texas law , which gives school districts the option to hold a moment of silence and recite the pledge .","The legislation would replace the current Texas law , which gives school districts the option of holding a period of silence and reciting the pledge .",0,265,non-paraphrase,0
"Talabani told him the Governing Council would "" need UN assistance and advice in implementing the new decisions which have been taken . ""","Talabani told him Iraqi leaders would "" need U.N. assistance and advice in implementing the new decisions which have been taken "" on organising an interim Iraqi government by June .",0,266,non-paraphrase,0
"By state law , 911 calls are not public information and were not released .","By law , 911 calls are not public information in Rhode Island .",0,267,non-paraphrase,0
"Under the Government Network Security Act of 2003 , federal agencies would have six months to develop and implement P2P security plans .","If enacted , federal agencies would have six months to develop and implement these plans .",1,268,paraphrase,1
"Sales as measured by volume , a key gauge of financial health in the beverage sector , grew 5 percent in the quarter .","Coke 's unit case volume , a key measure of financial health in the beverage sector , grew 5 percent in the quarter .",1,269,non-paraph,0
"Gainer said the two staff aides are "" very sorry this all happened , "" and the security personnel had performed "" well within standards . ""","The security personnel performed ``well within standards ' ' and the two staff aides were ``very sorry all this happened , ' ' Gainer said .",1,270,paraphrase,1
Two kids from Michigan are in today 's third round .,"Both will compete in today 's third round , which is all oral examination .",0,271,paraphrase,1
"He will leave Hollesley Bay open prison at Woodbridge , Suffolk , on Monday , July 21 .","Lord Archer is likely to be released from Hollesley Bay open prison at Woodbridge , Suffolk , on July 21 .",1,272,non-paraphrase,0
"The helicopter burst into flames upon impact , according to the Mohave County Sheriff 's Office .","The helicopter was owned by Las Vegas-based Sundance Helicopters Inc . , according to the sheriff 's office .",0,273,paraphrase,1
"Pennsylvania , which has the most aggressive treatment program , is treating 548 of 8,030 inmates .","Texas , which has more than three times Michigan 's inmate population , is treating 328 of its 16,298 infected inmates .",0,274,paraphrase,1
""" In so many different ways , the artistry of black musicians has conveyed the experience of black Americans throughout our history , "" Bush said .","Surrounded by singers from Harlem , Bush said : ' ' The artistry of black musicians has conveyed the experience of black Americans throughout our history .",0,275,paraphrase,1
Retail industry experts predict the next five days will likely make or break Christmas 2003 for many retailers .,"As the holiday shopping season peaks , industry experts predict the coming week could make or break Christmas 2003 for many retailers .",1,276,non-paraphrase,0
"Police then called a bomb squad , but the device exploded , killing Wells , before bomb technicians arrived .","While waiting for a bomb squad to arrive , the bomb exploded , killing Wells .",1,277,paraphrase,1
"The Standard & Poor 's 500 stock index pulled back by nearly 4 points to 1,066.62 .","The broad Standard & Poor 's 500 Index < .SPX > fell 0.70 points , or 0.07 percent , to 1,069.42 .",1,278,non-paraphrase,0
The euro has slipped nearly four percent since matching a record peak of around $ 1.1935 only last week and hitting an all-time high of 140.90 yen in late May .,The euro has slipped as much as four cents since matching a record peak near $ 1.1935 last week and hitting a record high of 140.90 yen in late May .,1,279,non-paraph,0
"The FBI informed Easynews that an individual had used the Easynews UseNet server to upload the SoBig.F virus on Monday , August 18th , the company said in a statement .",""" The FBI informed Easynews.com that an individual had used the Easynews.com UseNet server to upload the SoBig.F virus on Monday , August 18th .",1,280,paraphrase,1
""" It 's very difficult to do large syndicated loans in Japan , "" where there is a lack of expertise , says one banker .",""" It is very difficult to do large syndicated loans in Japan , "" says one banker .",0,281,non-paraphrase,0
"But Peterson added , "" I don 't know anybody in the conference committee who 's fighting to keep it out completely . ""","But Peterson added , I dont know anybody in the conference committee whos fighting to keep it out completely .",1,282,paraphrase,1
Named in the complaint were former chief executive officers Paul A. Allaire and G. Richard Thoman and former CFO Barry D. Romeril .,The executives fined included former Chief Executives Paul A. Allaire and G. Richard Thoman as well as former Chief Financial Officer Barry Romeril .,1,283,paraphrase,1
Both were charged with four counts of aggravated assault and 14 counts of endangering the welfare of children .,The Jacksons each were charged with four counts of aggravated assault and 14 counts of child endangerment .,1,284,paraphrase,1
""" The layoff is an excuse , "" countered Anaheim coach Mike Babcock .",""" I didn 't think our team engaged at all , "" lamented Anaheim coach Mike Babcock .",0,285,paraphrase,1
The Senate Banking Committee is scheduled to hold a hearing on Tuesday where Donaldson is scheduled to testify on hedge and mutual funds .,"The Senate Banking Committee is scheduled to hold a hearing on Tuesday , when Donaldson will be questioned about hedge and mutual funds .",1,286,non-paraphrase,0
"In other markets , U.S. Treasuries started off on Monday weaker , as stocks rose early .","In other markets , U.S. Treasuries inched higher as declining stocks raised the appeal of safe-haven debt .",0,287,"""paraphrase",1
"Analysts had been expecting a net loss of 54 cents a share , according to Thomson First Call .","Analysts had forecast second quarter sales of $ 614 million , according to the Thomson First Call Web site .",0,288,non-paraphrase,0
