,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair
517,""" By its actions , the Bush administration threatens to give a bad name to a just war , "" the Connecticut Democrat told a Capitol Hill news conference .",""" By its actions , "" Lieberman said , "" the Bush administration threatens to give a bad name to a just war . """,1,577,""" by its actions , the bush administration threatens to give a bad name to a just war , "" the connecticut democrat told a capitol hill news conference .",""" by its actions , "" lieberman said , "" the bush administration threatens to give a bad name to a just war . """,True
518,"I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law . ""","He urged Congress to "" send me the final bill as soon as possible so that I can sign it into law . """,0,578,"i urge congress to quickly resolve any differences and send me the final bill as soon as possible so that i can sign it into law . ""","he urged congress to "" send me the final bill as soon as possible so that i can sign it into law . """,True
519,The House passed a similar measure by a wide margin on Sept . 9 .,"The House of Representative passed an identical amendment on Sept . 9 , by a 227-188 vote .",1,579,the house passed a similar measure by a wide margin on sept . 9 .,"the house of representative passed an identical amendment on sept . 9 , by a 227188 vote .",True
520,"Reuters reported Braun ended June with $ 22,126 in the bank , according to her FEC report , and the Rev. Al Sharpton reported $ 12,061 in the bank .","Former Illinois Sen. Carol Moseley Braun ended June with $ 22,126 in the bank , according to her FEC report .",0,580,"reuters reported braun ended june with 22,126 in the bank , according to her fec report , and the rev. al sharpton reported 12,061 in the bank .","former illinois sen. carol moseley braun ended june with 22,126 in the bank , according to her fec report .",True
521,"After learning she would no longer get an experimental drug that treated her severe peanut allergy , Allison Smith reacted with panic .",The nurse called Allison Smith with the news : The experimental drug that so effectively treated her severe peanut allergy was being taken away .,0,581,"after learning she would no longer get an experimental drug that treated her severe peanut allergy , allison smith reacted with panic .",the nurse called allison smith with the news the experimental drug that so effectively treated her severe peanut allergy was being taken away .,True
522,"Darren Dopp , a Spitzer spokesman , declined to comment late Thursday .","John Heine , a spokesman for the commission in Washington , declined to comment on Mr. Spitzer 's criticism .",0,582,"darren dopp , a spitzer spokesman , declined to comment late thursday .","john heine , a spokesman for the commission in washington , declined to comment on mr. spitzer 's criticism .",True
523,"Using bookmarks and back and forth buttons - we had about eighteen different things we had in mind for the browser , "" he told an industry audience in London yesterday .","Using bookmarks and back and forth buttons -- we had about eighteen different things we had in mind for the browser . """,1,583,"using bookmarks and back and forth buttons we had about eighteen different things we had in mind for the browser , "" he told an industry audience in london yesterday .","using bookmarks and back and forth buttons we had about eighteen different things we had in mind for the browser . """,True
524,"Against the dollar , the euro rose as high as $ 1.1535 -- a fresh four-year high -- in morning trade before standing at $ 1.1518 / 23 at 0215 GMT .","Against the dollar , the euro rose as high as $ 1.1537 , a fresh four-year high and up a half cent from around $ 1.1480 in late U.S. trade .",0,585,"against the dollar , the euro rose as high as 1.1535 a fresh fouryear high in morning trade before standing at 1.1518 23 at 0215 gmt .","against the dollar , the euro rose as high as 1.1537 , a fresh fouryear high and up a half cent from around 1.1480 in late u.s. trade .",True
525,"Three American warships are off the Liberian coast carrying a total of 2,300 marines .","There are three warships with 2,300 Marines lingering off its coast .",1,586,"three american warships are off the liberian coast carrying a total of 2,300 marines .","there are three warships with 2,300 marines lingering off its coast .",True
526,"Those involved were allegedly told to never speak of the incident again , according to the letter .",The letter said staff was told to never speak of the incident .,1,587,"those involved were allegedly told to never speak of the incident again , according to the letter .",the letter said staff was told to never speak of the incident .,True
527,"Shares of Berkeley , California-based Xoma dropped $ 1.49 or 27 percent , to $ 4 in Instinet trading .","Shares in Berkeley-based Xoma lost 77 cents , or 14 percent , to close at $ 4.72 each in trading on the Nasdaq Stock Market .",0,588,"shares of berkeley , californiabased xoma dropped 1.49 or 27 percent , to 4 in instinet trading .","shares in berkeleybased xoma lost 77 cents , or 14 percent , to close at 4.72 each in trading on the nasdaq stock market .",True
528,""" Removing the waiver means nothing when Oracle still has pending litigation in Delaware that opposes the PeopleSoft / J.D. Edwards transaction , "" PeopleSoft responded .","In a public statement , a spokesperson said : "" Removing the waiver means nothing when Oracle still has pending litigation in Delaware that opposes the PeopleSoft / J.D. Edwards transaction . """,1,589,""" removing the waiver means nothing when oracle still has pending litigation in delaware that opposes the peoplesoft j.d. edwards transaction , "" peoplesoft responded .","in a public statement , a spokesperson said "" removing the waiver means nothing when oracle still has pending litigation in delaware that opposes the peoplesoft j.d. edwards transaction . """,True
529,"At best , Davydenko 's supporters were naively ignorant of tennis etiquette ; at worst , they cheated - yet went without penality from umpire Lars Graf .","At best , Davydenko 's supporters were naively ignorant to tennis etiquette ; at worst , they cheated – yet went unpenalised by umpire Lars Graf .",1,590,"at best , davydenko 's supporters were naively ignorant of tennis etiquette at worst , they cheated yet went without penality from umpire lars graf .","at best , davydenko 's supporters were naively ignorant to tennis etiquette at worst , they cheated yet went unpenalised by umpire lars graf .",True
530,"The Pentagon says it 's a technique that 's been successful in predicting elections , even box-office receipts .",The Pentagon insists the technique has successfully predicted elections and even box office receipts .,1,591,"the pentagon says it 's a technique that 's been successful in predicting elections , even boxoffice receipts .",the pentagon insists the technique has successfully predicted elections and even box office receipts .,True
531,"Treatment guidelines , many written by medical-specialty organizations , recommend approaches to many ailments , such as painkillers and exercise for arthritis .","Treatment guidelines , many written by medical specialty organizations , outline recommended approaches to many common ailments , ranging from painkillers and exercise for arthritis to surgery for breast cancer .",1,592,"treatment guidelines , many written by medicalspecialty organizations , recommend approaches to many ailments , such as painkillers and exercise for arthritis .","treatment guidelines , many written by medical specialty organizations , outline recommended approaches to many common ailments , ranging from painkillers and exercise for arthritis to surgery for breast cancer .",True
532,"After three months , Atkins dieters had lost an average of 14.7 pounds compared with 5.8 pounds in the conventional group .","Three months into the study , the Atkins group had lost an average of about 15 pounds , compared with five for the low-fat group .",1,593,"after three months , atkins dieters had lost an average of 14.7 pounds compared with 5.8 pounds in the conventional group .","three months into the study , the atkins group had lost an average of about 15 pounds , compared with five for the lowfat group .",True
533,""" It 's probably not the easiest time to come in and take over the shuttle program , but I look forward to the challenge , "" Parsons told reporters at NASA headquarters .",""" It 's probably not the easiest time to come in and take over the shuttle program , "" Mr. Parsons said at a news conference at NASA headquarters .",1,595,""" it 's probably not the easiest time to come in and take over the shuttle program , but i look forward to the challenge , "" parsons told reporters at nasa headquarters .",""" it 's probably not the easiest time to come in and take over the shuttle program , "" mr. parsons said at a news conference at nasa headquarters .",True
534,"None of Deans opponents picked him as someone to party with , nor was Dean asked that question .",None of Dean 's opponents picked him as someone to party with and Dean was not asked the question .,1,596,"none of deans opponents picked him as someone to party with , nor was dean asked that question .",none of dean 's opponents picked him as someone to party with and dean was not asked the question .,True
535,Mr. Kozlowski contends that the event included business and that some of those attending were Tyco employees .,Mr. Kozlowski contends that the event was in large part a business function .,1,597,mr. kozlowski contends that the event included business and that some of those attending were tyco employees .,mr. kozlowski contends that the event was in large part a business function .,True
536,The Mariners torched Randy Choate and Juan Acevedo in the eighth for four runs and a 12-5 bulge .,The Mariners piled on against Randy Choate and Juan Acevedo in the bottom of the inning .,0,599,the mariners torched randy choate and juan acevedo in the eighth for four runs and a 125 bulge .,the mariners piled on against randy choate and juan acevedo in the bottom of the inning .,True
537,"In a statement , the Redmond , Wash . , company said that it was acquiring the "" intellectual property and technology assets "" of GeCAD .",Microsoft said Tuesday it intends to acquire the intellectual property and technology assets of Romanian antivirus firm GeCAD Software Srl .,1,600,"in a statement , the redmond , wash . , company said that it was acquiring the "" intellectual property and technology assets "" of gecad .",microsoft said tuesday it intends to acquire the intellectual property and technology assets of romanian antivirus firm gecad software srl .,True
538,The horrific nature of the attacks is often fueled by a mix of tribal hatreds and a desire to spread terror in the region .,The attacks are often fuelled by a mix of tribal hatreds and a desire to spread terror in the region .,1,602,the horrific nature of the attacks is often fueled by a mix of tribal hatreds and a desire to spread terror in the region .,the attacks are often fuelled by a mix of tribal hatreds and a desire to spread terror in the region .,True
539,"The Ireland Palestine Solidarity Campaign , of which Mr O Muireagáin was a member , welcomed his release .","The Ireland Palestine Solidarity Campaign , of which he was a member , said he was researching a schools exchange project .",0,603,"the ireland palestine solidarity campaign , of which mr o muireagáin was a member , welcomed his release .","the ireland palestine solidarity campaign , of which he was a member , said he was researching a schools exchange project .",True
540,A spokeswoman for Interscope Geffen A & M declined to confirm how many employees were affected .,A spokeswoman for Interscope Geffen A & M Records declined to elaborate .,1,604,a spokeswoman for interscope geffen a m declined to confirm how many employees were affected .,a spokeswoman for interscope geffen a m records declined to elaborate .,True
541,"In that same time , the S & P and the Nasdaq have gained about 3.5 percent .","The Nasdaq composite gained 4.78 to 1,955.80 , having edged up 0.1 percent last week .",0,605,"in that same time , the s p and the nasdaq have gained about 3.5 percent .","the nasdaq composite gained 4.78 to 1,955.80 , having edged up 0.1 percent last week .",True
542,"On Monday , U.S. Army Pfc. Jessica Lynch was awarded the Bronze Star , Purple Heart and Prisoner of War medals at Walter Reed Army Medical Center .","Lynch , who returns to the hills of West Virigina Tuesday , also received the Purple Heart and Prisoner of War medals at Walter Reed Army Medical Center in Washington .",0,606,"on monday , u.s. army pfc. jessica lynch was awarded the bronze star , purple heart and prisoner of war medals at walter reed army medical center .","lynch , who returns to the hills of west virigina tuesday , also received the purple heart and prisoner of war medals at walter reed army medical center in washington .",True
543,He urged member states that contribute police and soldiers to U.N. peacekeeping operations to provide more women .,Undersecretary-General for Peacekeeping Jean-Marie Guehenno urged member states contributing police and soldiers to U.N. peacekeeping operations to provide more women .,1,607,he urged member states that contribute police and soldiers to u.n. peacekeeping operations to provide more women .,undersecretarygeneral for peacekeeping jeanmarie guehenno urged member states contributing police and soldiers to u.n. peacekeeping operations to provide more women .,True
544,"Other changes in the plan refine his original vision , Libeskind said .","Many of the changes are improvements to the original plan , Libeskind said .",1,608,"other changes in the plan refine his original vision , libeskind said .","many of the changes are improvements to the original plan , libeskind said .",True
545,The new contract extends the guarantee that his annual pay and bonus will be at least $ 2.4 million a year .,The contract sets his annual base salary at $ 1.4 million and his target bonus at a minimum of $ 1 million .,1,610,the new contract extends the guarantee that his annual pay and bonus will be at least 2.4 million a year .,the contract sets his annual base salary at 1.4 million and his target bonus at a minimum of 1 million .,True
546,"A rebel who was captured said more than 2,000 insurgents were involved in the attack .","A captured rebel said 2,100 combatants had been involved in the offensive .",1,611,"a rebel who was captured said more than 2,000 insurgents were involved in the attack .","a captured rebel said 2,100 combatants had been involved in the offensive .",True
547,"Under Kansas law , it is illegal for children under the age of 16 to have sexual relations .","In the opinion , Kline noted that it is illegal for children that young to have sexual relations .",1,612,"under kansas law , it is illegal for children under the age of 16 to have sexual relations .","in the opinion , kline noted that it is illegal for children that young to have sexual relations .",True
548,"Aside from meeting Chinese Premier Wen Jiabao on the sidelines of the Forum , Mr Goh also met Pakistani President Pervez Musharraf and Tajikistan President Emomali Sharipovich Rakhmonov .","On the sidelines of the Bo 'ao forum , Mr Goh also met Pakistani President Pervez Musharraf and held talks with Tajikistan President Emomali Sharipovich Rakhmonov .",0,614,"aside from meeting chinese premier wen jiabao on the sidelines of the forum , mr goh also met pakistani president pervez musharraf and tajikistan president emomali sharipovich rakhmonov .","on the sidelines of the bo 'ao forum , mr goh also met pakistani president pervez musharraf and held talks with tajikistan president emomali sharipovich rakhmonov .",True
549,"Fires in Spain 's Extremadura region , which borders Portugal , have forced hundreds of people to evacuate their homes .","Fires in Spain 's Extramadura region bordering Portugal , and Avila province forced hundreds of people to leave their homes .",1,616,"fires in spain 's extremadura region , which borders portugal , have forced hundreds of people to evacuate their homes .","fires in spain 's extramadura region bordering portugal , and avila province forced hundreds of people to leave their homes .",True
550,"On a planet that takes nearly 165 years to orbit the sun , spring can last more than 40 years .",Because it takes Neptune 165 years to orbit the Sun its seasons will last for decades .,1,618,"on a planet that takes nearly 165 years to orbit the sun , spring can last more than 40 years .",because it takes neptune 165 years to orbit the sun its seasons will last for decades .,True
551,SSE CEO Marchant said he would sell on Midlands ' power generation assets in Turkey and Pakistan to fellow British utility International Power Plc IPR.L for 21 million pounds .,After the deal SSE will sell on Midlands 's power generation assets in Turkey and Pakistan to fellow UK utility International Power Plc for 21 million pounds .,1,619,sse ceo marchant said he would sell on midlands ' power generation assets in turkey and pakistan to fellow british utility international power plc ipr.l for 21 million pounds .,after the deal sse will sell on midlands 's power generation assets in turkey and pakistan to fellow uk utility international power plc for 21 million pounds .,True
552,Crossing Jordan will be back in January after star Jill Hennessy gives birth .,NBC also plans to shelve Crossing Jordan until January as star Jill Hennessy has her first child .,1,621,crossing jordan will be back in january after star jill hennessy gives birth .,nbc also plans to shelve crossing jordan until january as star jill hennessy has her first child .,True
553,Yale spokesman Tom Conroy said the university was prepared to keep the campus running with temporary workers and managers doing extra work .,Yale spokesman Tom Conroy said the university planned to keep the campus running with managers and temporary workers performing union workers ' jobs .,1,622,yale spokesman tom conroy said the university was prepared to keep the campus running with temporary workers and managers doing extra work .,yale spokesman tom conroy said the university planned to keep the campus running with managers and temporary workers performing union workers ' jobs .,True
554,"A member of the chart-topping collective So Solid Crew dumped a loaded pistol in an alleyway as he fled from police , a court heard yesterday .","A member of the rap group So Solid Crew threw away a loaded gun during a police chase , Southwark Crown Court was told yesterday .",1,623,"a member of the charttopping collective so solid crew dumped a loaded pistol in an alleyway as he fled from police , a court heard yesterday .","a member of the rap group so solid crew threw away a loaded gun during a police chase , southwark crown court was told yesterday .",True
555,"They passed through the Lemelson Medical , Educational and Research Foundation Limited Partnership in 2001 to Syndia .","It said the patents were "" allegedly "" assigned to Syndia in 2001 through the Lemelson Medical , Educational and Research Foundation Limited Partnership .",1,624,"they passed through the lemelson medical , educational and research foundation limited partnership in 2001 to syndia .","it said the patents were "" allegedly "" assigned to syndia in 2001 through the lemelson medical , educational and research foundation limited partnership .",True
556,"Shares of USA Interactive rose $ 2.28 , or 7 percent , to $ 34.96 on Friday in Nasdaq Stock Market composite trading and have gained 53 percent this year .","Shares of LendingTree rose $ 6.03 , or 41 percent , to close at $ 20.72 on the Nasdaq stock market yesterday .",0,625,"shares of usa interactive rose 2.28 , or 7 percent , to 34.96 on friday in nasdaq stock market composite trading and have gained 53 percent this year .","shares of lendingtree rose 6.03 , or 41 percent , to close at 20.72 on the nasdaq stock market yesterday .",True
557,"We believe them to be without merit , and will defend ourselves vigorously .",""" We believe it is without merit and we will defend ourselves rigorously . """,1,626,"we believe them to be without merit , and will defend ourselves vigorously .",""" we believe it is without merit and we will defend ourselves rigorously . """,True
558,"The Russell 2000 index , which tracks smaller company stocks , was up 1.02 , or 0.21 percent , at 496.83 .","The Russell 2000 index , the barometer of smaller company stocks , rose 3.28 , or 0.7 percent , to 494.20 .",1,627,"the russell 2000 index , which tracks smaller company stocks , was up 1.02 , or 0.21 percent , at 496.83 .","the russell 2000 index , the barometer of smaller company stocks , rose 3.28 , or 0.7 percent , to 494.20 .",True
559,"The law does not regulate how much individuals can contribute to their own campaigns , a decided advantage for millionaires like Mr. Schwarzenegger and Mr. Ueberroth , both Republican candidates .","The law does not regulate how much individuals can contribute to their own campaigns , a decided advantage for millionaires such as Schwarzenegger and Ueberroth .",1,628,"the law does not regulate how much individuals can contribute to their own campaigns , a decided advantage for millionaires like mr. schwarzenegger and mr. ueberroth , both republican candidates .","the law does not regulate how much individuals can contribute to their own campaigns , a decided advantage for millionaires such as schwarzenegger and ueberroth .",True
560,Dixon put his style on display Sunday afternoon in winning the Honda Indy 225 at Pikes Peak International Raceway .,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway .,1,629,dixon put his style on display sunday afternoon in winning the honda indy 225 at pikes peak international raceway .,scott dixon eventually made winning the honda indy 225 look easy sunday at pikes peak international raceway .,True
561,"In a statement later , he said it appeared his side may have fallen a bit short .","Zilkha conceded in a statement issued today that his group may have fallen "" a bit short . """,1,630,"in a statement later , he said it appeared his side may have fallen a bit short .","zilkha conceded in a statement issued today that his group may have fallen "" a bit short . """,True
562,"Among the most recent additions to the list , which to date includes more than 360 groups and individuals , is Zelimkhan Yandarbiev , the former president of Chechnya .","The most recent addition to the list , which to date includes 125 names , is Zelimkhan Yandarbiev , the former president of Chechnya .",1,631,"among the most recent additions to the list , which to date includes more than 360 groups and individuals , is zelimkhan yandarbiev , the former president of chechnya .","the most recent addition to the list , which to date includes 125 names , is zelimkhan yandarbiev , the former president of chechnya .",True
563,"As of Tuesday , almost 250 health-care workers were in quarantine .","In addition , 6,800 people were in quarantine and thousands of health-care workers in working quarantine .",0,632,"as of tuesday , almost 250 healthcare workers were in quarantine .","in addition , 6,800 people were in quarantine and thousands of healthcare workers in working quarantine .",True
564,"About 1,000 people attended the ceremony , kicking off two days of observances tied to the March on Washington .","About 1,000 people came in stifling heat to begin two days of observances tied to the coming 40th anniversary of the March on Washington on Aug. 28 , 1963 .",1,633,"about 1,000 people attended the ceremony , kicking off two days of observances tied to the march on washington .","about 1,000 people came in stifling heat to begin two days of observances tied to the coming 40th anniversary of the march on washington on aug. 28 , 1963 .",True
565,"Second quarter sales came in at $ 645 million , up from $ 600 million the year before , AMD said .","Revenue in the second quarter ended June 29 was $ 645 million , up from $ 600 million a year ago .",1,634,"second quarter sales came in at 645 million , up from 600 million the year before , amd said .","revenue in the second quarter ended june 29 was 645 million , up from 600 million a year ago .",True
566,"The other 18 people inside the building - two visitors and 16 employees , including Harrison 's ex-girlfriend - escaped without injury , Aaron said .","The other 18 people in the building , including Harrison 's ex-girlfriend , were not injured , police spokesman Don Aaron said .",1,635,"the other 18 people inside the building two visitors and 16 employees , including harrison 's exgirlfriend escaped without injury , aaron said .","the other 18 people in the building , including harrison 's exgirlfriend , were not injured , police spokesman don aaron said .",True
567,"Southwest exercised nine 2004 options and six 2005 options , which were accelerated for delivery next year .",Southwest said it recently exercised remaining options for the delivery of nine Boeing 737-700s next year .,0,636,"southwest exercised nine 2004 options and six 2005 options , which were accelerated for delivery next year .",southwest said it recently exercised remaining options for the delivery of nine boeing 737700s next year .,True
568,"Professor Hermon-Taylor adds , An unexpected finding of the research showed that patients suffering with Irritable Bowel Syndrome ( IBS ) were also infected with the MAP bug .",Hermon-Taylor said an unexpected finding of the research showed that patients suffering from irritable bowel syndrome ( IBS ) may also be infected with MAP .,1,637,"professor hermontaylor adds , an unexpected finding of the research showed that patients suffering with irritable bowel syndrome ibs were also infected with the map bug .",hermontaylor said an unexpected finding of the research showed that patients suffering from irritable bowel syndrome ibs may also be infected with map .,True
569,"Preliminary reports were that the men were not seen together at the airport , sources said .","The men had Pakistani passports and reportedly were seen together at the airport earlier in the evening , law enforcement sources said .",0,638,"preliminary reports were that the men were not seen together at the airport , sources said .","the men had pakistani passports and reportedly were seen together at the airport earlier in the evening , law enforcement sources said .",True
570,Details of the research appear in the Nov. 5 issue of the Journal of the American Medical Association .,"The results , published in the Journal of the American Medical Association , involved just 47 heart attack patients .",0,639,details of the research appear in the nov. 5 issue of the journal of the american medical association .,"the results , published in the journal of the american medical association , involved just 47 heart attack patients .",True
571,"Six countries have advised their citizens not to travel to Taiwan for any reason , the ministry said .","Spain , Poland , United Arab Emirates and Lithuania have advised their citizens not to travel to Taiwan for any reason .",1,640,"six countries have advised their citizens not to travel to taiwan for any reason , the ministry said .","spain , poland , united arab emirates and lithuania have advised their citizens not to travel to taiwan for any reason .",True
572,"The technology-laced Nasdaq Composite Index < .IXIC > tacked on 5.91 points , or 0.29 percent , to 2,053.27 .","The technology-focused Nasdaq Composite Index < .IXIC > advanced 6 points , or 0.30 percent , to 2,053 , erasing earlier losses .",0,641,"the technologylaced nasdaq composite index .ixic tacked on 5.91 points , or 0.29 percent , to 2,053.27 .","the technologyfocused nasdaq composite index .ixic advanced 6 points , or 0.30 percent , to 2,053 , erasing earlier losses .",True
573,"United Airlines plans to become the first domestic airline to offer e-mail on all its domestic flights by the end of the year , the company announced yesterday .","United Airways plans to offer in-flight , two-way e-mail on all domestic flights by the end of the year , becoming the first U.S. carrier to do so .",1,642,"united airlines plans to become the first domestic airline to offer email on all its domestic flights by the end of the year , the company announced yesterday .","united airways plans to offer inflight , twoway email on all domestic flights by the end of the year , becoming the first u.s. carrier to do so .",True
574,"Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .","Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .",1,643,"volodymyr gorbanovsky , deputy general director of the plane 's owners , mediterranean airlines , said it appeared to have veered from its flight path because of the fog .","volodymyr gorbanovsky , deputy general director of the plane 's owners , mediterranean airlines , said initial information indicated it had veered from its flight path because of fog .",True
575,Meteorologists predicted the storm would become a Category 1 hurricane before landfall .,It was predicted to become a Category I hurricane overnight .,1,644,meteorologists predicted the storm would become a category 1 hurricane before landfall .,it was predicted to become a category i hurricane overnight .,True
576,"I called the number and the lady told me she was talking on the phone to Toby Studabaker , ' ' Sherry Studabaker told BBC television .","I called the number and the lady told me she was talking on the phone to Toby Studabaker . """,1,645,"i called the number and the lady told me she was talking on the phone to toby studabaker , ' ' sherry studabaker told bbc television .","i called the number and the lady told me she was talking on the phone to toby studabaker . """,True
577,Sweeney said he would formally announce the formation of the new union on Wednesday in Detroit .,Sweeney is to formally announce the campaign in a speech Wednesday in Detroit .,1,646,sweeney said he would formally announce the formation of the new union on wednesday in detroit .,sweeney is to formally announce the campaign in a speech wednesday in detroit .,True
578,Shares in Safeway rose 1-1 / 4p to 290-1 / 2p while Morrison shares rose 1-3 / 4p to 222-3 / 4p in early morning trade .,Shares in Safeway rose 1-1 / 4p to 288-1 / 4p in morning trade in London .,0,648,shares in safeway rose 11 4p to 2901 2p while morrison shares rose 13 4p to 2223 4p in early morning trade .,shares in safeway rose 11 4p to 2881 4p in morning trade in london .,True
579,"Emeryville-based Ask Jeeves agreed to sell a business software division to a Sunnyvale-based rival , Kanisa , for $ 4.25 million .","Ask Jeeves Wednesday announced it plans to sell its enterprise software division , Jeeves Solutions , to Kanisa .",1,649,"emeryvillebased ask jeeves agreed to sell a business software division to a sunnyvalebased rival , kanisa , for 4.25 million .","ask jeeves wednesday announced it plans to sell its enterprise software division , jeeves solutions , to kanisa .",True
580,""" I picked prostitutes as my victims because I hate most prostitutes and I did not want to pay them for sex . ""","It went on : "" I picked prostitutes as my victims because I hated most prostitutes and I did not want to pay them for sex .",1,650,""" i picked prostitutes as my victims because i hate most prostitutes and i did not want to pay them for sex . ""","it went on "" i picked prostitutes as my victims because i hated most prostitutes and i did not want to pay them for sex .",True
581,A positive PSA test has to be followed up with a biopsy or other procedures before cancer can be confirmed .,"Before confirming a diagnosis of cancer , a positive PSA test must be followed up with a biopsy or other procedures .",1,651,a positive psa test has to be followed up with a biopsy or other procedures before cancer can be confirmed .,"before confirming a diagnosis of cancer , a positive psa test must be followed up with a biopsy or other procedures .",True
582,"But Mr. Peterson added , "" I don 't know anybody in the conference committee who 's fighting to keep it out completely . ""","But Peterson added , I dont know anybody in the conference committee whos fighting to keep it out completely .",1,652,"but mr. peterson added , "" i don 't know anybody in the conference committee who 's fighting to keep it out completely . ""","but peterson added , i dont know anybody in the conference committee whos fighting to keep it out completely .",True
583,"The technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","The technology-laced Nasdaq Composite Index .IXIC was down 1.55 points , or 0.09 percent , at 1,744.91 .",0,653,"the technologyheavy nasdaq composite index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","the technologylaced nasdaq composite index .ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .",True
584,"In 1998 Intel invested $ 500 million in Micron , but later sold the equity it had bought , Mulloy said .","Earlier this year , Intel invested $ 123 million in Elpida Memory over two funding rounds , Mulloy said .",0,654,"in 1998 intel invested 500 million in micron , but later sold the equity it had bought , mulloy said .","earlier this year , intel invested 123 million in elpida memory over two funding rounds , mulloy said .",True
585,"So far , however , only four companies have licensed the protocols , according to the report to the judge yesterday .","So far , only four companies have licensed Microsoft 's communications protocols : EMC , Network Appliance , VeriSign and Starbak Communications , the report noted .",1,655,"so far , however , only four companies have licensed the protocols , according to the report to the judge yesterday .","so far , only four companies have licensed microsoft 's communications protocols emc , network appliance , verisign and starbak communications , the report noted .",True
586,"The speaker issued a one-paragraph statement , saying , "" I am advised that certain allegations of criminal conduct have been interposed against my counsel , J. Michael Boxley .",""" I am advised that certain allegations of criminal conduct have been interposed against my counsel J. Michael Boxley , "" Silver said .",1,656,"the speaker issued a oneparagraph statement , saying , "" i am advised that certain allegations of criminal conduct have been interposed against my counsel , j. michael boxley .",""" i am advised that certain allegations of criminal conduct have been interposed against my counsel j. michael boxley , "" silver said .",True
587,"In the second quarter , Anadarko now expects volume of 46 million BOE , down from 48 million BOE .",Production for the second quarter was cut to 46 million barrels from 48 million barrels .,0,658,"in the second quarter , anadarko now expects volume of 46 million boe , down from 48 million boe .",production for the second quarter was cut to 46 million barrels from 48 million barrels .,True
588,The Institute for Supply Management 's manufacturing index dipped to 53.7 from 54.7 in August .,The Institute 's national manufacturing barometer slipped to 53.7 in September from 54.7 in August .,1,659,the institute for supply management 's manufacturing index dipped to 53.7 from 54.7 in august .,the institute 's national manufacturing barometer slipped to 53.7 in september from 54.7 in august .,True
589,"It got up on his personal radar screen this past week , I 've given him my pitch and he was quite supportive , "" he said .",""" It got up on his personal radar screen in the past week , and I had to get my pitch .",0,660,"it got up on his personal radar screen this past week , i 've given him my pitch and he was quite supportive , "" he said .",""" it got up on his personal radar screen in the past week , and i had to get my pitch .",True
590,""" It 's just too important to keeping crime down , "" he said of Operation Impact , which began Jan. 3 .",""" It 's just too important to keeping crime down in the city to let it lapse , "" the mayor said of Operation Impact .",0,661,""" it 's just too important to keeping crime down , "" he said of operation impact , which began jan. 3 .",""" it 's just too important to keeping crime down in the city to let it lapse , "" the mayor said of operation impact .",True
591,"The couple was granted an annulment in September 2001 and Joanie Harper was given sole custody of Marques and Lyndsey , court records show .","Joanie Harper and Brothers were granted an annulment in September 2001 , and Harper was given sole custody of Marques and Lyndsey , court records show .",1,662,"the couple was granted an annulment in september 2001 and joanie harper was given sole custody of marques and lyndsey , court records show .","joanie harper and brothers were granted an annulment in september 2001 , and harper was given sole custody of marques and lyndsey , court records show .",True
592,Iraq 's economy was ravaged during years of U.N. sanctions over ex-president Saddam Hussein 's 1990 occupation of Kuwait and by the U.S.-led war to oust him which ended in April .,Iraq 's economy was shattered under former president Saddam Hussein and by the U.S.-led war to oust him which ended in April .,0,665,iraq 's economy was ravaged during years of u.n. sanctions over expresident saddam hussein 's 1990 occupation of kuwait and by the u.s.led war to oust him which ended in april .,iraq 's economy was shattered under former president saddam hussein and by the u.s.led war to oust him which ended in april .,True
593,"Nationwide , severe acute respiratory syndrome has infected more than 5,300 people , about two-thirds of world 's total , and killed 343 of them .","Severe acute respiratory syndrome has infected more than 8,300 worldwide and killed at least 790 , most of them in Asia .",0,666,"nationwide , severe acute respiratory syndrome has infected more than 5,300 people , about twothirds of world 's total , and killed 343 of them .","severe acute respiratory syndrome has infected more than 8,300 worldwide and killed at least 790 , most of them in asia .",True
594,"Under the settlement , Solutia will pay $ 50 million in equal installments over a period of 10 years .","Under the agreement , Solutia will pay $ 50 million and Monsanto will pay $ 390 million .",0,667,"under the settlement , solutia will pay 50 million in equal installments over a period of 10 years .","under the agreement , solutia will pay 50 million and monsanto will pay 390 million .",True
595,"Smith found the cigarette tax falls on the tobacco consumer , not the tribe , meaning the tribe is simply an agent for collecting a tax .","Smith ruled that the state 's tax falls on the tobacco consumer , not the tribe , making the tribe simply an agent for collecting the tax .",1,668,"smith found the cigarette tax falls on the tobacco consumer , not the tribe , meaning the tribe is simply an agent for collecting a tax .","smith ruled that the state 's tax falls on the tobacco consumer , not the tribe , making the tribe simply an agent for collecting the tax .",True
