,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair,noise_flags_sentence1,noise_flags_sentence2,major_noise_sentence1,major_noise_sentence2,major_noisy_pair
187,"Sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .","IBM ( NYSE : IBM ) was the fastest-growing vendor , with sales jumping 37 percent to 220,000 units .",0,209,"sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .","ibm nyse ibm was the fastestgrowing vendor , with sales jumping 37 percent to 220,000 units .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
188,"He is one of two Democrats on the five-member FCC , and he is a strong advocate of harsher penalties against radio and television stations that violate indecency laws .","Copps , one of two Democrats on the five-member commission , has pushed for harsher penalties against radio and television stations that violate indecency laws .",1,210,"he is one of two democrats on the fivemember fcc , and he is a strong advocate of harsher penalties against radio and television stations that violate indecency laws .","copps , one of two democrats on the fivemember commission , has pushed for harsher penalties against radio and television stations that violate indecency laws .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
189,"The city index outperformed the Dow Jones industrial average , which fell 0.9 percent for the week .","The blue-chip Dow Jones industrial average .DJI tacked on 97 points , or 1.14 percent , to 8,699 .",0,211,"the city index outperformed the dow jones industrial average , which fell 0.9 percent for the week .","the bluechip dow jones industrial average .dji tacked on 97 points , or 1.14 percent , to 8,699 .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
192,"In the first three months of 2003 alone , weekly earnings adjusted for inflation fell 1.5 % -- the biggest drop in more than a decade , "" Lieberman said .","In the first quarter of this year , weekly earnings adjusted for inflation fell 1.5 percent - the biggest drop in more than a decade .",1,214,"in the first three months of 2003 alone , weekly earnings adjusted for inflation fell 1.5 the biggest drop in more than a decade , "" lieberman said .","in the first quarter of this year , weekly earnings adjusted for inflation fell 1.5 percent the biggest drop in more than a decade .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
193,"The statistical analysis was published Tuesday in Circulation , a journal of the American Heart Association ( news - web sites ) .",Their findings were published Monday in Circulation : The Journal of the American Heart Association .,1,215,"the statistical analysis was published tuesday in circulation , a journal of the american heart association news web sites .",their findings were published monday in circulation the journal of the american heart association .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
196,""" This man gambled with our lives and we , the passengers , lost , "" said Andres Rivera Jr . , who was also on the bus .",""" This man gambled with our lives and we , the passengers , lost , "" said passenger Andres Rivera Jr . , whose 15-year-old niece , Jazmine Santiago , was killed .",0,218,""" this man gambled with our lives and we , the passengers , lost , "" said andres rivera jr . , who was also on the bus .",""" this man gambled with our lives and we , the passengers , lost , "" said passenger andres rivera jr . , whose 15yearold niece , jazmine santiago , was killed .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
197,IG Farben 's 500 properties were valued at around 38-million euros ( about R300-million ) and the firm had debts totalling about 28-million .,IG Farben 's 500 properties were valued at around 38 million euros ( $ 43.63 million ) and the firm had debts totalling some 28 million euros .,1,219,ig farben 's 500 properties were valued at around 38million euros about r300million and the firm had debts totalling about 28million .,ig farben 's 500 properties were valued at around 38 million euros 43.63 million and the firm had debts totalling some 28 million euros .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
198,"The company 's operating loss rose 59 percent to $ 73 million , from $ 46 million a year earlier .",Operating revenue fell 4.5 percent to $ 2.3 billion from a year earlier .,0,220,"the company 's operating loss rose 59 percent to 73 million , from 46 million a year earlier .",operating revenue fell 4.5 percent to 2.3 billion from a year earlier .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
201,"Mr Abbas said : "" Every day without an agreement is an opportunity that was lost .","His Palestinian counterpart , Mahmoud Abbas , replied that "" every day without an agreement is an opportunity that was lost .",1,224,"mr abbas said "" every day without an agreement is an opportunity that was lost .","his palestinian counterpart , mahmoud abbas , replied that "" every day without an agreement is an opportunity that was lost .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
202,"We remain hopeful that the city will agree to work with us and engage in good-faith discussions on this issue . ""","Alhart said the governor "" remains hopeful that the city will continue to work with us and engage in good-faith discussions . """,1,225,"we remain hopeful that the city will agree to work with us and engage in goodfaith discussions on this issue . ""","alhart said the governor "" remains hopeful that the city will continue to work with us and engage in goodfaith discussions . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
205,"Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .",Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .,0,228,"gillette shares rose 1.45 , or 4.5 percent , to 33.95 in afternoon new york stock exchange trading .",shares of gillette closed down 45 cents at 33.70 in trading wednesday on the new york stock exchange .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
208,Microsoft fell 5 percent before the open to $ 27.45 from Thursday 's close of $ 28.91 .,Shares in Microsoft slipped 4.7 percent in after-hours trade to $ 27.54 from a Nasdaq close of $ 28.91 .,0,232,microsoft fell 5 percent before the open to 27.45 from thursday 's close of 28.91 .,shares in microsoft slipped 4.7 percent in afterhours trade to 27.54 from a nasdaq close of 28.91 .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
211,"The 39-year-old Luster initially gave police a false name , but later revealed his true identity .",Barrera said Luster gave police a false name immediately after his arrest Wednesday but later revealed his true identity .,1,235,"the 39yearold luster initially gave police a false name , but later revealed his true identity .",barrera said luster gave police a false name immediately after his arrest wednesday but later revealed his true identity .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
212,"In a statement distributed Friday , 28 Chechen non-governmental organizations said they would boycott the vote .","In a statement distributed today , 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud .",0,236,"in a statement distributed friday , 28 chechen nongovernmental organizations said they would boycott the vote .","in a statement distributed today , 28 chechen nongovernmental organisations said they would boycott the vote and warned voters to expect fraud .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
213,"If the companies won 't , their drugs could be prescribed to Medicaid patients only with the state 's say-so .","If a company won 't do so , its drugs could be prescribed to Medicaid patients only with the state 's say-so .",1,237,"if the companies won 't , their drugs could be prescribed to medicaid patients only with the state 's sayso .","if a company won 't do so , its drugs could be prescribed to medicaid patients only with the state 's sayso .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
216,"She told Murray , "" We ... we have ... the fresh air is going down fast ! """,""" The fresh air is going down fast ! "" she screamed at Murray .",1,241,"she told murray , "" we ... we have ... the fresh air is going down fast ! """,""" the fresh air is going down fast ! "" she screamed at murray .",True,"{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
222,"The 1 5 / 8 percent note maturing in April 2005 gained 1 / 16 to 100 13 / 32 , lowering its yield 1 basis points to 1.41 percent .",The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,0,248,"the 1 5 8 percent note maturing in april 2005 gained 1 16 to 100 13 32 , lowering its yield 1 basis points to 1.41 percent .",the yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
223,"Mr. Bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .","In Texas , public watchdog groups opposed Mr. Bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a half-century .",0,249,"mr. bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a halfcentury .","in texas , public watchdog groups opposed mr. bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a halfcentury .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
224,"Williams was White , and four of his victims were Black ; the fifth was White .",Four of those killed by Williams were black ; the other was white .,1,250,"williams was white , and four of his victims were black the fifth was white .",four of those killed by williams were black the other was white .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
226,Arts helped coach the youth on an eighth-grade football team at Lombardi Middle School in Green Bay .,The boy was a student at Lombardi Middle School in Green Bay .,0,252,arts helped coach the youth on an eighthgrade football team at lombardi middle school in green bay .,the boy was a student at lombardi middle school in green bay .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
231,"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0,257,"at 8 a.m. friday , san joaquin county sheriff 's deputies found the body of adan avalos , 37 .",san joaquin county sheriff 's deputies found 37yearold adan avalos of riverbank shot to death inside the suv .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
234,"The bulk of the funds , some $ 65 billion , will go for military operations in Iraq and Afghanistan .",The bulk of the bill - $ 64.7 billion - goes for military operations primarily in Iraq and Afghanistan .,1,260,"the bulk of the funds , some 65 billion , will go for military operations in iraq and afghanistan .",the bulk of the bill 64.7 billion goes for military operations primarily in iraq and afghanistan .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
235,"The new capabilities will provide IBM customers a way to create , publish , manage and archive Web-based content within a corporate intranet , extranet and Internet environment .","The product will be targeted at companies that need to create , publish , manage and archive web-based content within a corporate intranet , extranet and internet environment .",1,261,"the new capabilities will provide ibm customers a way to create , publish , manage and archive webbased content within a corporate intranet , extranet and internet environment .","the product will be targeted at companies that need to create , publish , manage and archive webbased content within a corporate intranet , extranet and internet environment .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
237,"A $ 500 million natural-gas-fired power plant , for example , could replace up to $ 100 million in boilers yearly without adding new smog controls .","A $ 500 million coal-fired power plant , for example , could replace $ 100 million in equipment yearly without adding new pollution controls .",1,263,"a 500 million naturalgasfired power plant , for example , could replace up to 100 million in boilers yearly without adding new smog controls .","a 500 million coalfired power plant , for example , could replace 100 million in equipment yearly without adding new pollution controls .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
239,"Shares of AstraZeneca AZN.N , Europe 's second biggest drugmaker , rose 3.71 percent to close at $ 43.05 on the New York Stock Exchange .","Shares of AstraZeneca , Europe ’ s second biggest drug company , rose 3 per cent on the New York Stock Exchange after the news .",0,265,"shares of astrazeneca azn.n , europe 's second biggest drugmaker , rose 3.71 percent to close at 43.05 on the new york stock exchange .","shares of astrazeneca , europe s second biggest drug company , rose 3 per cent on the new york stock exchange after the news .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
240,"Gov. Rick Perry has said that while he opposes gambling expansion , he would be reluctant to veto continuation of the Lottery Commission .","Gov. Rick Perry opposes expansion of gambling but has said he would be "" hard-pressed "" to veto the lottery sunset bill .",1,266,"gov. rick perry has said that while he opposes gambling expansion , he would be reluctant to veto continuation of the lottery commission .","gov. rick perry opposes expansion of gambling but has said he would be "" hardpressed "" to veto the lottery sunset bill .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
243,"Along with chip.m.aker Intel , the companies include Sony Corp. , Microsoft Corp. , Hewlett-Packard Co . , International Business Machines Corp. , Gateway Inc . , Nokia Corp. and others .","Along with chip maker Intel , the companies include Sony , Microsoft , Hewlett-Packard , International Business Machines , Gateway , Nokia and others .",1,269,"along with chip.m.aker intel , the companies include sony corp. , microsoft corp. , hewlettpackard co . , international business machines corp. , gateway inc . , nokia corp. and others .","along with chip maker intel , the companies include sony , microsoft , hewlettpackard , international business machines , gateway , nokia and others .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
246,""" It still remains to be seen whether the revenue recovery will be short-lived or long-lived , "" Mr. Sprayregen said .",""" It remains to be seen whether the revenue recovery will be short- or long-lived , "" said James Sprayregen , UAL bankruptcy attorney , in court .",1,272,""" it still remains to be seen whether the revenue recovery will be shortlived or longlived , "" mr. sprayregen said .",""" it remains to be seen whether the revenue recovery will be short or longlived , "" said james sprayregen , ual bankruptcy attorney , in court .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
248,""" The SIA forecast reflects the new realities of the semiconductor industry of an 8-10 percent "" growth rate , George Scalise , the trade association 's president , said in a statement .",""" The SIA forecast reflects the new realities of the semiconductor industry of an 8-10 per cent ' ' growth rate "" , said George Scalise , the association 's president .",1,274,""" the sia forecast reflects the new realities of the semiconductor industry of an 810 percent "" growth rate , george scalise , the trade association 's president , said in a statement .",""" the sia forecast reflects the new realities of the semiconductor industry of an 810 per cent ' ' growth rate "" , said george scalise , the association 's president .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
249,Eighty-six seriously wounded U.N. workers were airlifted out for medical care .,Eighty-six U.N. workers who were wounded in Tuesday 's bombing were airlifted out for medical care .,1,275,eightysix seriously wounded u.n. workers were airlifted out for medical care .,eightysix u.n. workers who were wounded in tuesday 's bombing were airlifted out for medical care .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
253,Medical experts said the condition was mildly worrying but easily-manageable .,Medical experts said Blair 's problem was worrying but relatively common and easily manageable .,1,279,medical experts said the condition was mildly worrying but easilymanageable .,medical experts said blair 's problem was worrying but relatively common and easily manageable .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
256,A Lamar mother arrested Saturday in Colorado Springs is accused of drowning her two children in a bathtub before slitting her wrists .,"A 32-year-old mother of two is suspected of drowning her children in a bathtub before slashing her wrists in an unsuccessful suicide attempt , police said .",1,282,a lamar mother arrested saturday in colorado springs is accused of drowning her two children in a bathtub before slitting her wrists .,"a 32yearold mother of two is suspected of drowning her children in a bathtub before slashing her wrists in an unsuccessful suicide attempt , police said .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
266,""" Apple is working with Oxford Semiconductor and affected drive manufacturers to resolve this issue , which resides in the Oxford 922 chipset , "" the company said in a statement .","Apple is working with Oxford Semiconductor and affected drive manufacturers to resolve this issue , which resides in the Oxford 922 chip-set . """,1,293,""" apple is working with oxford semiconductor and affected drive manufacturers to resolve this issue , which resides in the oxford 922 chipset , "" the company said in a statement .","apple is working with oxford semiconductor and affected drive manufacturers to resolve this issue , which resides in the oxford 922 chipset . """,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
267,"Even later in life , he was still cashing in : lately , he earned money by calling fans on the telephone with the service www.HollywoodIsCalling.com.","Lately , he had earned money by calling fans on the telephone , taking part in the service www.HollywoodIsCalling.com.",1,294,"even later in life , he was still cashing in lately , he earned money by calling fans on the telephone with the service","lately , he had earned money by calling fans on the telephone , taking part in the service",True,"{'url': True, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': True, 'special_chars': False, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
268,The transaction will expand Callebaut 's sales revenues from its consumer products business to 45 percent from 23 percent .,The transaction will expand Callebaut 's sales revenues from its consumer products business by around 45 percent to some one-third of total sales .,0,295,the transaction will expand callebaut 's sales revenues from its consumer products business to 45 percent from 23 percent .,the transaction will expand callebaut 's sales revenues from its consumer products business by around 45 percent to some onethird of total sales .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
269,"A sign outside the Peachtree Restaurant reads : "" Pray for Eric Rudolph . """,""" Rudolph ate here "" , joked a sign outside one restaurant .",0,296,"a sign outside the peachtree restaurant reads "" pray for eric rudolph . """,""" rudolph ate here "" , joked a sign outside one restaurant .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
273,"A 25 percent increase would raise undergraduate tuition to about $ 5,247 annually , including miscellaneous , campus-based fees .","The 25 percent hike takes annual UC undergraduate tuition to $ 4,794 and graduate fees to $ 5,019 .",0,300,"a 25 percent increase would raise undergraduate tuition to about 5,247 annually , including miscellaneous , campusbased fees .","the 25 percent hike takes annual uc undergraduate tuition to 4,794 and graduate fees to 5,019 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
274,"From July 1 , 2002 , to June 30 , 2003 , the organization said it spent $ 114.3 million but took in only $ 39.5 million .","Between July 1 , 2002 and June 30 , 2003 , the Red Cross spent $ 114 million on disaster relief , while taking in only $ 39.5 million .",1,301,"from july 1 , 2002 , to june 30 , 2003 , the organization said it spent 114.3 million but took in only 39.5 million .","between july 1 , 2002 and june 30 , 2003 , the red cross spent 114 million on disaster relief , while taking in only 39.5 million .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
275,"Hundreds of reporters and photographers swamped the courthouse grounds before the hearing , which was carried live on national cable networks .",Hundreds of reporters and photographers swamped the town and the short hearing involving the five-time All-Star was carried live on national cable networks .,0,302,"hundreds of reporters and photographers swamped the courthouse grounds before the hearing , which was carried live on national cable networks .",hundreds of reporters and photographers swamped the town and the short hearing involving the fivetime allstar was carried live on national cable networks .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
277,They said : “ We believe that the time has come for legislation to make public places smoke-free .,""" The time has come to make public places smoke-free , "" they wrote in a letter to the Times newspaper .",1,304,they said we believe that the time has come for legislation to make public places smokefree .,""" the time has come to make public places smokefree , "" they wrote in a letter to the times newspaper .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
278,Milwaukee prosecutors charged a church minister with physical abuse in the death of an 8-year-old autistic boy who died during a healing service .,A church minister was charged yesterday in the death of an 8-year-old autistic boy who suffocated as church leaders tried to heal him at a storefront church .,1,305,milwaukee prosecutors charged a church minister with physical abuse in the death of an 8yearold autistic boy who died during a healing service .,a church minister was charged yesterday in the death of an 8yearold autistic boy who suffocated as church leaders tried to heal him at a storefront church .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
288,"The Dow Jones industrial average .DJI jumped 2.09 percent , while the Standard & Poor 's 500 Index .SPX leapt 2.23 percent .","The broad Standard & Poor 's 500 Index .SPX gained 11.22 points , or 1.13 percent , at 1,007.19 .",0,316,"the dow jones industrial average .dji jumped 2.09 percent , while the standard poor 's 500 index .spx leapt 2.23 percent .","the broad standard poor 's 500 index .spx gained 11.22 points , or 1.13 percent , at 1,007.19 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
291,"Sean Harrigan of Calpers , the California fund , said : "" Today we are trying to pull the pig from the trough .",""" Today we are trying to pull the pig away from the trough , "" Mr. Harrigan said .",1,319,"sean harrigan of calpers , the california fund , said "" today we are trying to pull the pig from the trough .",""" today we are trying to pull the pig away from the trough , "" mr. harrigan said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
295,"A pamphlet will be issued to the public through major hardware chains , local libraries and on the EPA Web site : www.epa.gov.",It will be distributed through major hardware store chains and local libraries and will be available on the EPA Web site : www.epa.gov.,1,323,"a pamphlet will be issued to the public through major hardware chains , local libraries and on the epa web site",it will be distributed through major hardware store chains and local libraries and will be available on the epa web site,True,"{'url': True, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': True, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
296,"The captain , Michael J. Gansas , was notified yesterday by the city 's Department of Transportation that an agency hearing officer recommended that he be fired .",Gansas got more bad news yesterday from the city Department of Transportation - a hearing officer recommended that he be fired .,1,324,"the captain , michael j. gansas , was notified yesterday by the city 's department of transportation that an agency hearing officer recommended that he be fired .",gansas got more bad news yesterday from the city department of transportation a hearing officer recommended that he be fired .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
299,"In December , he anticipated growth of 5.3 percent to nearly $ 154 billion .","In December , he had predicted a 5 percent growth rate .",0,328,"in december , he anticipated growth of 5.3 percent to nearly 154 billion .","in december , he had predicted a 5 percent growth rate .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
300,Clearly Roman creams of any type do not normally survive in the archaeological record .,"Clearly Roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional . """,1,329,clearly roman creams of any type do not normally survive in the archaeological record .,"clearly roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional . """,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
303,""" Third . . . we are not allowed to kill women , except those who join the war [ against Islam ] . ""","In jihad , we are not allowed to kill women , except those who join the war ( against Islam ) . """,1,333,""" third . . . we are not allowed to kill women , except those who join the war against islam . ""","in jihad , we are not allowed to kill women , except those who join the war against islam . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
